epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,923.826,1.14138,1.9933,1.15584,1.14357,0.55021,0.48899,0.57106,0.35364,0.58464,0.51897,0.58193,0.28991,1.60492,2.39325,1.57611,1.20622,0.000605051,0.000605051,0.000605051
48,944.327,1.145,1.97948,1.15312,1.14476,0.54605,0.60571,0.62353,0.36853,0.55649,0.60305,0.60969,0.31859,1.57789,2.60039,1.55515,1.23746,0.000594052,0.000594052,0.000594052
49,963.472,1.15239,1.93862,1.1543,1.14551,0.46314,0.60626,0.57409,0.35804,0.47048,0.63626,0.59671,0.3174,1.59157,2.41889,1.57109,1.20511,0.000583053,0.000583053,0.000583053
50,986.064,1.12724,1.95077,1.1291,1.13857,0.62023,0.58739,0.63651,0.39748,0.62875,0.60375,0.64821,0.32118,1.51558,2.36922,1.5393,1.19024,0.000572054,0.000572054,0.000572054
51,1011.21,1.15512,1.96343,1.13391,1.1445,0.67029,0.56676,0.65031,0.38216,0.67703,0.54885,0.642,0.32031,1.54183,2.33612,1.51515,1.26677,0.000561055,0.000561055,0.000561055
52,1033.18,1.11464,1.90947,1.12352,1.12323,0.61759,0.63086,0.63636,0.40499,0.6007,0.62875,0.65552,0.35375,1.55198,2.40569,1.4431,1.19424,0.000550056,0.000550056,0.000550056
53,1049.01,1.1264,1.93237,1.10764,1.13218,0.63876,0.63342,0.64227,0.37925,0.65613,0.6314,0.65628,0.34492,1.59161,2.46351,1.49113,1.20442,0.000539057,0.000539057,0.000539057
54,1070.27,1.11124,1.89048,1.11107,1.11816,0.59285,0.59707,0.64265,0.40526,0.66564,0.57768,0.64362,0.35437,1.54819,2.38433,1.45622,1.19221,0.000528058,0.000528058,0.000528058
55,1091.78,1.10169,1.88682,1.10524,1.12915,0.56594,0.65861,0.64353,0.41848,0.55316,0.64993,0.63046,0.35346,1.54214,2.44016,1.49354,1.1946,0.000517059,0.000517059,0.000517059
56,1114.91,1.11216,1.8843,1.09784,1.12444,0.59241,0.64655,0.6079,0.39543,0.57778,0.64653,0.60469,0.33991,1.48219,2.30563,1.4422,1.15921,0.00050606,0.00050606,0.00050606
57,1137.98,1.11339,1.88322,1.0843,1.12038,0.64751,0.61354,0.63622,0.40747,0.59676,0.62237,0.62045,0.34763,1.50593,2.38564,1.45577,1.20073,0.000495062,0.000495062,0.000495062
58,1158.71,1.09353,1.83955,1.05698,1.1158,0.60171,0.64497,0.62638,0.37081,0.6156,0.6309,0.63238,0.33543,1.51912,2.35294,1.47101,1.17618,0.000484063,0.000484063,0.000484063
59,1185.79,1.12595,1.86267,1.07685,1.12176,0.60791,0.65093,0.64429,0.39552,0.64109,0.60829,0.62662,0.34573,1.47639,2.3104,1.46047,1.14198,0.000473064,0.000473064,0.000473064
60,1200.54,1.0926,1.82374,1.0759,1.11529,0.63125,0.64252,0.64839,0.3975,0.62022,0.62845,0.65765,0.35233,1.55385,2.13717,1.4686,1.23007,0.000462065,0.000462065,0.000462065
61,1222.29,1.08175,1.79991,1.06084,1.11396,0.5834,0.65327,0.63627,0.41471,0.61461,0.66334,0.64169,0.36553,1.52045,2.28792,1.43451,1.19277,0.000451066,0.000451066,0.000451066
62,1241.68,1.08814,1.81156,1.06541,1.11198,0.63765,0.68416,0.68921,0.43496,0.66827,0.62365,0.67801,0.37909,1.49636,2.25311,1.49975,1.2067,0.000440067,0.000440067,0.000440067
63,1259.62,1.06487,1.78671,1.04635,1.09779,0.63615,0.62579,0.67244,0.42872,0.61664,0.60415,0.6496,0.36904,1.54336,2.37431,1.48816,1.20787,0.000429068,0.000429068,0.000429068
64,1282.43,1.07308,1.83411,1.02482,1.10445,0.60151,0.65476,0.65927,0.43014,0.55747,0.65007,0.6516,0.36977,1.49579,2.37358,1.48053,1.17983,0.000418069,0.000418069,0.000418069
65,1316.27,1.06745,1.8061,1.03627,1.10598,0.67649,0.60466,0.65531,0.424,0.66575,0.58236,0.64154,0.37237,1.51609,2.29163,1.41473,1.19535,0.00040707,0.00040707,0.00040707
66,1342.47,1.08159,1.76731,1.02724,1.09453,0.57117,0.64066,0.63975,0.41894,0.56439,0.63187,0.629,0.35598,1.43496,2.29485,1.41946,1.15772,0.000396071,0.000396071,0.000396071
67,1358.22,1.07156,1.80128,1.02832,1.09165,0.6406,0.6187,0.65927,0.4191,0.65353,0.62332,0.66694,0.36851,1.5637,2.26934,1.41067,1.16804,0.000385073,0.000385073,0.000385073
68,1379.33,1.07436,1.78318,1.03546,1.10363,0.63714,0.66491,0.66692,0.42823,0.64724,0.66442,0.67722,0.37807,1.44321,2.09826,1.44238,1.12969,0.000374074,0.000374074,0.000374074
69,1400.45,1.07985,1.77535,1.0192,1.09191,0.64018,0.66579,0.6498,0.4165,0.65362,0.64479,0.64443,0.36128,1.47971,2.17751,1.40868,1.15053,0.000363075,0.000363075,0.000363075
70,1422.13,1.04922,1.73875,0.99859,1.09623,0.63576,0.65118,0.66478,0.43482,0.6423,0.65429,0.65957,0.37176,1.43906,2.27809,1.43771,1.20023,0.000352076,0.000352076,0.000352076
71,1443.35,1.0517,1.78276,1.0095,1.08527,0.58734,0.68197,0.6512,0.41938,0.57998,0.67011,0.64794,0.35839,1.4688,2.56159,1.5238,1.19875,0.000341077,0.000341077,0.000341077
72,1471.96,1.03774,1.78197,0.97293,1.08445,0.68287,0.62834,0.66337,0.43997,0.66885,0.66694,0.67745,0.37791,1.43206,2.29753,1.4276,1.17095,0.000330078,0.000330078,0.000330078
73,1493.63,1.04072,1.7474,0.99177,1.08647,0.69435,0.61938,0.67756,0.44233,0.72522,0.63644,0.68929,0.40062,1.47655,2.07774,1.39263,1.18369,0.000319079,0.000319079,0.000319079
74,1513.98,1.018,1.71896,0.95569,1.0696,0.66988,0.66123,0.67389,0.4454,0.68932,0.66458,0.67385,0.38448,1.4771,2.29861,1.38664,1.13652,0.00030808,0.00030808,0.00030808
75,1528.62,1.02351,1.67971,0.96696,1.07368,0.71571,0.60297,0.64541,0.41604,0.66345,0.63696,0.62927,0.36445,1.48636,2.21166,1.41858,1.16221,0.000297081,0.000297081,0.000297081
76,1547.85,1.03414,1.74815,0.99371,1.08019,0.68857,0.6166,0.67125,0.43372,0.68992,0.62768,0.67232,0.37181,1.53274,2.34691,1.46157,1.17938,0.000286083,0.000286083,0.000286083
77,1569.09,1.02041,1.71351,0.9727,1.07198,0.80767,0.6331,0.71301,0.46033,0.8037,0.62829,0.70442,0.40051,1.51458,2.21036,1.39067,1.16714,0.000275084,0.000275084,0.000275084
78,1602.22,1.02702,1.74907,0.94569,1.07624,0.70842,0.66476,0.7053,0.47087,0.70655,0.66379,0.70573,0.41623,1.48614,2.2209,1.35393,1.17967,0.000264085,0.000264085,0.000264085
79,1632.51,1.01308,1.69509,0.94995,1.06392,0.66655,0.70478,0.70654,0.45315,0.67833,0.71059,0.70881,0.40443,1.51457,2.2358,1.37379,1.19008,0.000253086,0.000253086,0.000253086
80,1655.5,0.99078,1.71556,0.95441,1.06347,0.72484,0.63796,0.70096,0.48199,0.72084,0.63535,0.69938,0.4196,1.49018,2.22191,1.3618,1.14843,0.000242087,0.000242087,0.000242087
81,1673.31,0.99619,1.70672,0.94258,1.06591,0.65902,0.68791,0.68216,0.45507,0.67236,0.67413,0.68943,0.40443,1.46816,2.15359,1.35555,1.12909,0.000231088,0.000231088,0.000231088
82,1688.72,0.99214,1.6577,0.92745,1.05785,0.66542,0.67308,0.67106,0.44019,0.65711,0.67042,0.68414,0.38434,1.49253,2.18598,1.40322,1.15537,0.000220089,0.000220089,0.000220089
83,1702.94,1.00116,1.66161,0.9334,1.06177,0.67776,0.69356,0.66441,0.43169,0.71724,0.68552,0.68315,0.37855,1.46777,2.08329,1.35684,1.15175,0.00020909,0.00020909,0.00020909
84,1723.52,0.98196,1.60165,0.90666,1.05696,0.73132,0.68309,0.70258,0.45735,0.72967,0.68002,0.6994,0.40682,1.47214,2.12284,1.37638,1.17077,0.000198091,0.000198091,0.000198091
85,1743.61,0.97375,1.63267,0.92073,1.06217,0.65909,0.70003,0.69979,0.47112,0.72032,0.68129,0.71488,0.42111,1.4322,2.03894,1.33511,1.13566,0.000187092,0.000187092,0.000187092
86,1765.06,0.99229,1.6317,0.91336,1.05789,0.71805,0.68622,0.69775,0.48355,0.68541,0.67967,0.67101,0.40358,1.42548,2.18234,1.3527,1.12221,0.000176094,0.000176094,0.000176094
87,1794.51,0.9731,1.65509,0.90735,1.06113,0.73655,0.70419,0.70039,0.4848,0.73727,0.7029,0.69384,0.40526,1.40336,2.07382,1.2893,1.11958,0.000165095,0.000165095,0.000165095
