epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,7757.97,0.66511,1.20366,0.54603,0.9762,0.83607,0.82849,0.87396,0.67253,0.82629,0.8093,0.85249,0.6027,0.98492,1.30729,0.85234,0.86693,0.000473064,0.000473064,0.000473064
60,7888.56,0.67496,1.18202,0.54684,0.97589,0.85848,0.8112,0.84917,0.64752,0.85635,0.79581,0.84046,0.57245,1.00741,1.25003,0.89638,0.88124,0.000462065,0.000462065,0.000462065
61,8017.31,0.67153,1.17079,0.52319,0.96823,0.87709,0.82272,0.8696,0.66113,0.86755,0.81464,0.84951,0.57181,0.9677,1.23055,0.87405,0.86468,0.000451066,0.000451066,0.000451066
62,8146.22,0.6676,1.18193,0.5238,0.97293,0.8608,0.7957,0.85072,0.64761,0.85481,0.79101,0.85204,0.59419,1.00007,1.33687,0.86044,0.85601,0.000440067,0.000440067,0.000440067
63,8277.75,0.66329,1.15097,0.51864,0.96465,0.83257,0.81775,0.84855,0.65853,0.81203,0.79864,0.82195,0.56504,0.95308,1.24133,0.85351,0.86768,0.000429068,0.000429068,0.000429068
64,8412.52,0.66695,1.1635,0.51706,0.96756,0.83629,0.83709,0.87545,0.64761,0.81962,0.79182,0.83436,0.58275,1.04197,1.25784,0.88716,0.8977,0.000418069,0.000418069,0.000418069
65,8544.3,0.66495,1.16403,0.52309,0.96682,0.86049,0.81066,0.85482,0.64789,0.84586,0.79721,0.83235,0.57243,0.99744,1.29434,0.85444,0.87861,0.00040707,0.00040707,0.00040707
66,8673.45,0.64878,1.13706,0.50562,0.95957,0.89312,0.81747,0.87705,0.67126,0.88403,0.80938,0.86921,0.60346,1.00722,1.2321,0.83575,0.87934,0.000396071,0.000396071,0.000396071
67,8803.78,0.64766,1.13112,0.5071,0.95759,0.84921,0.81766,0.85798,0.65443,0.83982,0.80557,0.8432,0.59964,1.03604,1.20517,0.92055,0.86575,0.000385073,0.000385073,0.000385073
68,8932.76,0.63681,1.11732,0.49338,0.95797,0.83046,0.83239,0.87438,0.65822,0.8821,0.76066,0.8518,0.58468,0.9933,1.30169,0.88263,0.86202,0.000374074,0.000374074,0.000374074
69,9062.22,0.65554,1.11185,0.50754,0.95794,0.83308,0.84338,0.86133,0.65669,0.84982,0.80206,0.84295,0.6011,1.00962,1.25642,0.88937,0.85434,0.000363075,0.000363075,0.000363075
70,9191.88,0.64594,1.10769,0.49662,0.95541,0.84956,0.83986,0.86902,0.66642,0.83612,0.82875,0.85019,0.60586,0.97141,1.2742,0.89288,0.8539,0.000352076,0.000352076,0.000352076
71,9328.39,0.63779,1.09099,0.48763,0.95518,0.84463,0.83832,0.86226,0.64701,0.83127,0.82721,0.84482,0.59282,1.00847,1.28429,0.8942,0.87138,0.000341077,0.000341077,0.000341077
72,9460.59,0.62948,1.07552,0.48167,0.95513,0.84894,0.83509,0.87629,0.67068,0.80461,0.84507,0.84647,0.5974,0.95333,1.28398,0.88418,0.86195,0.000330078,0.000330078,0.000330078
73,9592.72,0.63015,1.07859,0.47759,0.94985,0.83758,0.83285,0.86468,0.66608,0.83219,0.82277,0.84609,0.565,0.96343,1.30195,0.87457,0.8646,0.000319079,0.000319079,0.000319079
74,9724.16,0.6337,1.07174,0.47005,0.95013,0.85589,0.84233,0.87214,0.66593,0.85212,0.8393,0.86123,0.60607,0.98097,1.27366,0.85253,0.85971,0.00030808,0.00030808,0.00030808
75,9856.32,0.60654,1.01443,0.45649,0.94335,0.86707,0.85487,0.88724,0.67616,0.84872,0.84108,0.85664,0.59284,0.97726,1.32262,0.86014,0.86278,0.000297081,0.000297081,0.000297081
76,9986.04,0.61233,1.03194,0.45872,0.94515,0.8655,0.86175,0.89304,0.68818,0.84805,0.84429,0.86711,0.60473,0.96015,1.28603,0.85778,0.86413,0.000286083,0.000286083,0.000286083
77,10127.4,0.6011,1.04291,0.45821,0.94716,0.8712,0.81982,0.87122,0.66851,0.86485,0.78598,0.84886,0.59297,0.98795,1.33951,0.89936,0.88078,0.000275084,0.000275084,0.000275084
78,10256.9,0.60598,1.01173,0.45169,0.94718,0.88046,0.80901,0.86876,0.68023,0.87255,0.80357,0.85206,0.59736,0.97515,1.27047,0.89057,0.88544,0.000264085,0.000264085,0.000264085
79,10387.6,0.60159,1.01614,0.45429,0.94025,0.81931,0.8618,0.86232,0.68028,0.79881,0.83875,0.83924,0.594,0.93105,1.25717,0.84703,0.85071,0.000253086,0.000253086,0.000253086
